reply_id,reply_text,tweet_id,tweet_text,toxicspeech,counterspeech,support,esplicito,irony,ostile,alternativa,cs_type
'1329113341663514625','@lauraboldrini @Linkiesta E dei diritti dei cittadini italiani non parla mai?','1329112875043008515',"'In #Polonia le donne di #Strajkobiet stanno circondando il Parlamento. Dicono no al tentativo di comprimere i loro diritti. 

Da settimane lottano a difesa di autodeterminazione e libertà. Non lasciamole sole. 

Ne ho parlato con @Linkiesta ➡️ https://t.co/H5aoSi4F8s'",1,-1,-1,ND,ND,ND,ND,ND
'1329113645985488896',"'@lauraboldrini @Linkiesta La Polonia
 ha una storia di resistenza'",'1329112875043008515',"'In #Polonia le donne di #Strajkobiet stanno circondando il Parlamento. Dicono no al tentativo di comprimere i loro diritti. 

Da settimane lottano a difesa di autodeterminazione e libertà. Non lasciamole sole. 

Ne ho parlato con @Linkiesta ➡️ https://t.co/H5aoSi4F8s'",-1,-1,-1,ND,ND,ND,ND,ND
'1329114175440891904','@Iperbole_ Secondo me ha un'opinione un po' distorta dei principi cristiani...','1329113841603649536',"'La Meloni difende Ungheria e Polonia dicendo che la scelta di bloccare il Recovery fund (e quindi anche i soldi all'Italia) sono per ""difendere le radici cristiane"" (ovvero negare diritti umani e limitare la libertà di stampa).

Ricordatevelo quando sbandiererà il tricolore.'",-1,1,-1,-1,1,0,-1,arax
'1329358749400752133',"'@catlatorre Bisogna riappropriarsi di questa regione,altrimenti è persa per sempre.
Quindi la si commissari,esercito e ripristino forzoso della legalità,azzerare il consiglio regionale e tornare alle elezioni,controllate da terzi stavolta però.
O così o pomì.'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329359764619452416','@catlatorre La situazione in Calabria è triste per tutti gli italiani','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329359859276517379','@catlatorre A me però stanca anche un pochino continuare a intristirmi per gente che vota a cazzo. Non solo in Calabria. Loro sono solo l'ultimo esempio arrivato alle cronache.','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329362233407758337','@catlatorre Il sud è nelle mani sbagliate da troppo tempo e si fa finta di non saperlo','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329362527902371842','@catlatorre Questo dimostra che votiamo con il culo.','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329363043394998279','@catlatorre Eravamo soli ed abbandonati a noi stessi già prima che venisse a galla tutto ciò nelle ultime settimane','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329363762474856448','@MadameA02 Nelle violenze in particolare','1329362205834403842',"'In Italia spesso funziona cosi:

La vittima diventa automaticamente il colpevole.'",-1,-1,-1,ND,ND,ND,ND,ND
'1329364738766147584','@catlatorre #antimafia quello che colpisce dell’ultimo arresto per voto di scambio è che la commissione antimafia aveva dichiarato #impresentabile  il candidato Tallini diventato poi #presidenteconsiglioregionaledellaCalabria. L’esponente di #ForzaItalia è agli arresti domiciliari.','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329371673859076096',"'@DebAttanasio Si, ma poi cosa è successo, Mussolini a sua insaputa.'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
